KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df,name,method
KO_11,195.99814577098303,-0.11443376105375772,1.3343206773695586,-0.08576181347901252,0.9316818913072533,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_12,0.24483186884667757,-0.026211703638126083,0.3217584930848618,-0.08146390600857553,0.9350978383634795,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_14,1842.0509019490735,0.48962371644119984,0.584104431779689,0.8382468781299623,0.40219691603123564,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_15,2.6361170955955324,0.2833864776416689,1.6707027122061098,0.16962112742815033,0.8653603193681828,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_16,39426.16254297819,0.004536575771484808,0.35808858668211035,0.012668864465965535,0.9898958249872948,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_17,32882.66179265635,0.006937155377006676,0.360542870379801,0.019240861342505477,0.984654802657178,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_18,54320.230503775376,0.011966375237098509,0.3574937076862326,0.033472967439195415,0.9733075890507625,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_19,10728.911707476598,-0.02379857896987128,0.3752572221793625,-0.06341937626585165,0.9494518478921412,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_20,0.24483186884667874,1.4745710068235707,1.0991997955140203,1.3414949792034987,0.18022330103573184,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_21,21053.88302460556,-0.20569087459692872,0.5367170280134521,-0.38323895807489333,0.7016665636888186,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_23,222.6763367845042,-0.2795810928629082,0.9223007357460461,-0.3031344137839768,0.7618833879724044,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_24,0.24483186884667937,-0.0262117036381401,0.7023288656307117,-0.03732112535998535,0.9702402983744163,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_25,94264.5133199502,0.01898354705832922,0.33805237053550224,0.05615563951898266,0.9552348928163796,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_26,34871.33141193416,-0.1169027964714148,0.34007371952400683,-0.34375722015520893,0.7311388573963085,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_27,0.24483186884668118,1.2415024172126428,1.2593710927521045,0.9858114294965964,0.324588553629895,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_28,0.5452874241885478,0.9746881521578339,1.24405390966006,0.7834774237590469,0.43362914516811146,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_29,21339.168975699133,0.22523375427572062,0.4239652808246099,0.5312551863625303,0.5954215084479465,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_30,5770.8765199356,-0.36988910637290895,0.6232079266188946,-0.5935243930218884,0.5530345358586697,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_31,0.24483186884667874,-0.14689538090835128,1.6709931190546823,-0.08790902801051224,0.9299757684479133,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_32,35388.513910231995,0.07891393213552508,0.3529085643668697,0.2236101361753559,0.8231301866906804,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_33,0.24483186884666672,0.209448224549677,1.6053367594355339,0.1304699610960898,0.8962345555631477,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_34,30519.020361424053,-0.018762385814201255,0.3559902898054365,-0.05270476850493781,0.9579831603535405,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_35,24494.926431721717,-0.024600963843222357,0.3610372217015299,-0.06813968855421787,0.9456951685812892,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_36,23723.475672066,-0.056787022568924095,0.3521759292517271,-0.16124617798149987,0.8719490824562414,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_37,103.71093027407389,0.24413645126059474,1.5792714178053504,0.15458802616706716,0.8771935861884388,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_38,0.5452874241885606,-0.4305827259300281,0.8105914765830575,-0.5311957235784088,0.5954626860349721,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_40,21573.448412265912,-0.18521229399774683,0.41673693394592076,-0.4444345554977412,0.6568747929832743,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_41,17790.970352435645,0.15367652164355639,0.4528870661612398,0.3393263643984116,0.7344723185749793,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_42,4782.526832683754,-0.05026325190226896,0.34163894305454956,-0.1471238947552985,0.8830793648534565,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_43,5466.439173369654,0.048439922025706544,0.8026750243170654,0.0603481116992775,0.9518967361458035,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_44,3471.4944385147624,0.351137802516532,0.6372999799880344,0.5509772690140752,0.5818365651020034,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_45,8413.548772070719,0.071214935140798,0.27960114168703787,0.25470187536111727,0.7990330699678747,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_46,447.25059421528874,-0.05793876012651972,1.083629973627371,-0.05346729191383846,0.957375843831027,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_47,10926.134937123561,0.012236468589115868,0.35045848195611684,0.03491560118852559,0.9721576453733625,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_48,9.491566745756002,-0.009026193427892182,1.2989765244361067,-0.006948696345232648,0.9944578964207434,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_49,2895.1418654153817,-0.6377285799945439,1.1223700688702551,-0.5681981350736329,0.5700945752820968,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_50,25840.546672815213,0.0031198203148185,0.32984688609147517,0.009458389472117959,0.9924562808249402,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_51,1234.7321072756224,0.8324623976300546,1.317798102806079,0.6317070846113942,0.5277980305454644,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_52,46245.015101670964,-0.01620342982472417,0.33847083355916113,-0.04787245522557553,0.961832440117276,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_53,105.88744573645776,0.4679006478852845,1.5745474346579214,0.29716516478713667,0.7664343447166976,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_54,9.646803879260563,-0.8160567565934597,2.156210581169801,-0.3784680233554588,0.7052052037889649,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_55,0.24483186884667996,-0.5698185843268655,1.5804377454102723,-0.360544783229626,0.7185556588531365,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_56,0.7607843546504753,0.05887166025148158,1.2664950305683826,0.0464839251876582,0.9629386715439872,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_57,16762.883353965182,-0.011948396859177896,0.3550988203234471,-0.03364808941999447,0.9731679938401573,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_58,0.24483186884667757,-0.026211703638126083,0.3217584930848618,-0.08146390600857553,0.9350978383634795,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_59,0.2448318688466739,1.3273813626639315,1.0540434655473083,1.2593231740919655,0.20836083818608497,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_60,33300.91349466981,0.007074290987523019,0.3662575573592259,0.019315071717645255,0.9845956248854345,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_61,15129.142939834253,0.0449141528212125,0.3835921022902973,0.11708831478293075,0.9068258528641208,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_62,26097.18364870049,0.010630294131659113,0.3577111038158957,0.029717540267159944,0.9763013477629672,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_63,39916.03794223168,0.05611770613183242,0.32607264802975805,0.17210185052599386,0.8634104560959485,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_64,2.2538298208281704,1.9895953050802153,1.5096223023073498,1.3179424429801156,0.18798225255014747,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_65,9603.157672606525,0.0317250180744737,0.3741470473367874,0.08479291310808211,0.9324518587661074,0.9974823568014521,No,657,health_statusHIV,LinDA
